SentenceID;Sentence;Category;Theme;TruthValue;Length;Run
65;Tout polynôme admet deux racines réelles.;Math6;Number;False;13;3
66;Le produit scalaire de deux vecteurs est un nombre complexe.;Math6;Number;False;17;4
67;Un plan est défini par son vecteur normal.;Math6;Geometry;True;12;6
68;L’intégrale mesure l’aire sous une courbe.;Math6;Geometry;True;14;1
69;Des vecteurs colinéaires ont des directions parallèles.;Math6;Geometry;True;16;2
70;Le cosinus est 2pi-périodique.;Math6;Number;True;11;3
71;L’écart-type est la racine de la variance.;Math6;Number;True;13;4
72;Une fonction dont la dérivée est positive est croissante. ;Math6;Number;True;17;5
73;Les éléphants possèdent des plumes.;GK1;Biology;False;10;1
74;Le petit de la vache s'appelle le chaton.;GK1;Biology;False;13;2
75;Les gros escargots ont besoin de manger beaucoup de viande. ;GK1;Biology;False;16;3
76;L'Afrique est située au pôle nord.;GK1;Geography;False;10;4
77;Le désert est un territoire couvert de lacs.;GK1;Geography;False;13;5
78;La Tour Eiffel se trouve sur le continent américain.;GK1;Geography;False;16;6
79;Le miel est produit par les abeilles.;GK1;Biology;True;10;2
80;Le chameau est un mammifère avec des bosses.;GK1;Biology;True;13;3
81;Il est très dangereux de manger des champignons vénéneux.;GK1;Biology;True;16;4
82;La Terre est composée de continents.;GK1;Geography;True;10;5
83;Les rivières coulent des montagnes vers les mers.;GK1;Geography;True;13;6
84;Les montagnes sont souvent recouvertes de neige en hiver.;GK1;Geography;True;16;1
85;Le cœur permet la digestion des fruits. ;GK2;Biology;False;10;3
86;Le beurre est fait à partir de farine de blé.;GK2;Biology;False;13;4
87;Les ovules sont des cellules reproductrices mâles.;GK2;Biology;False;16;5
88;L'Italie a la forme d'une botte.;GK2;Geography;False;11;6
89;Sur les cartes, le sud est représenté en haut.;GK2;Geography;False;13;1
90;La Loire prend sa source dans les montagnes d'Himalaya.;GK2;Geography;False;16;2
91;Une cellule contient de l'ADN.;GK2;Biology;True;10;4
92;Les bactéries sont tuées par une grande chaleur.;GK2;Biology;True;14;5
93;Les plantes produisent de l'oxygène par photosynthèse.;GK2;Biology;True;17;6
94;Le soleil se lève à l'est le matin.;GK2;Geography;True;10;1
95;Le climat d'Andalousie est chaud et sec l'été.;GK2;Geography;True;13;2
96;Mars est une planète de notre système solaire.;GK2;Geography;True;16;3
97;Un me pendant est que quand ainsi sans.;WordList;None;False;10;5
98;Sans pour est dont un lorsque de dedans.;WordList;None;False;10;2
99;Devant décide souterrain lapin.;WordList;None;False;10;6
100;Tourner antilope journal assis.;WordList;None;False;10;3
101;Est le une tandis comme sans te pour mais dans.;WordList;None;False;13;6
102;Le selon la est des néanmoins le avec pour.;WordList;None;False;13;3
103;Dents choisis forêt vertes saison canapé jours.;WordList;None;False;13;1
104;Voilier tigres carafe pensif câlin boit.;WordList;None;False;13;4
105;Qui le est un la selon pourtant se lorsque d'une avec ou.;WordList;None;False;16;1
106;Lui eux puis chaque pour si d'après cependant d'un sitôt est.;WordList;None;False;16;4
107;Douceur poisson cannelle grimace pôle mire mer voie.;WordList;None;False;16;2
108;Soif échapper lac amour concombre vite petit.;WordList;None;False;16;5
109;Un poulet est un cercle de lettres.;ColorlessG;None;False;10;1
110;La plume est le choix du poivre pensif.;ColorlessG;None;False;10;4
111;Le colis de la girafe est gratuit.;ColorlessG;None;False;10;2
112;La réaction cuit par des zoos gris.;ColorlessG;None;False;10;5
113;La grimace est un arbre parallèle sans doigts.;ColorlessG;None;False;13;2
114;La voile des lions est une bouteille allumée.;ColorlessG;None;False;13;5
115;Le lapin de mal va vite au bal du camion doux.;ColorlessG;None;False;13;3
116;Le costume d'un melon a toujours de l'espoir.;ColorlessG;None;False;13;6
117;Tout chien géométrique se pilote comme une pierre.;ColorlessG;None;False;16;3
118;La décision pluvieuse est un inconvénient sans fauteuil.;ColorlessG;None;False;16;6
119;La boîte est brossée au roi du canard en petites montres.;ColorlessG;None;False;16;4
120;Une assiette silencieuse est une belle lampe à café.;ColorlessG;None;False;16;1
